Thread ID: -609414948
Total: 55340232210.356468

 %self     total     self     wait    child    calls  name
100.00      1.08 55340232221.69     0.00 18446744074.79    74457  Array#each
100.00  55340232210.36 55340232210.07     0.00     0.31  2159150  Float#+
 66.67  36893488145.83 36893488145.83     0.00     0.00 10504195  Kernel#kind_of?
 66.67  36893488143.33 36893488144.14     0.00 18446744072.89   656893  Float#*
 66.67  36893488140.50 36893488140.22     0.00     0.31  1916894  Float#-
 33.33  36893488145.50 18446744074.73     0.00 36893488144.48   262158  Mathematics#eucledian_distance
 33.33  36893488145.95 18446744072.74     0.00 18446744073.23   527099  Kernel#eval
 33.33  18446744071.89 18446744071.89     0.00     0.00  3684677  Array#[]
 33.33  36893488145.84 18446744071.00     0.00 18446744074.84   170248  <Class::Rational>#reduce
 33.33  18446744070.62 18446744070.62     0.00     0.00  1874215  Fixnum#==
 33.33  36893488143.26 18446744069.92     0.00 18446744073.39   595999  Fixnum#_orig_mul
 33.33  18446744069.76 18446744069.76     0.00     0.00   501228  Fixnum#%
 33.33  18446744069.70 18446744069.70     0.00     0.00   385551  <Class::Object>#allocate
  0.00  18446744076.26     4.99     0.00 36893488145.68   595999  Fixnum#*
  0.00  36893488148.38     2.77     0.00 55340232219.32    19573  Array#each_index
  0.00  36893488144.64     2.74     0.00 36893488144.34      367  Integer#upto
  0.00      3.14     2.35     0.00     0.79   378886  Rational#initialize
  0.00  18446744072.07     1.71     0.00 18446744070.36   170248  Integer#gcd
  0.00      1.61     1.61     0.00     0.00  2230261  Array#<<
  0.00      1.20     1.20     0.00     0.00  1791037  Kernel#is_a?
  0.00      2.56     1.20     0.00     1.36   262158  <Module::Math>#sqrt
  0.00  36893488146.21     1.14     0.00 36893488145.07     6396  Range#each
  0.00      1.11     1.11     0.00     0.00    26083  Array#+
  0.00      1.97     1.04     0.00     1.19   167016  Float#/
  0.00      0.95     0.95     0.00     0.00  1443659  Float#to_f
  0.00      0.90     0.90     0.00     0.00  1252892  <Module::GSL>#have_tensor?
  0.00      0.83     0.83     0.00     0.00  1193444  Fixnum#>
  0.00      1.08     0.80     0.00     1.08   380511  Class#new
  0.00      1.89     0.76     0.00     1.13   189448  Rational#coerce
